ID,name,crayfish.id,carapace.length.mm,sex,repro.form,claw.side,claw.length.mm,claw.width.mm,claw.strength.v,centroid.size,resid.str.length,resid.str.centroid
69,FO140R,FO140,21.598,m,2,r,14.061,6.479,1.860915,0.575879344,-2.731196979,-5.286329348
176,FO45R,FO45,19.515,m,2,r,14.361,6.763,3.228939,0.595980706,-1.496927817,-3.923522853
300,FO174L,FO174,22.994,m,2,l,12.259,5.363,3.178644,0.659708273,-0.610047255,-3.990358967
301,FO174R,FO174,22.994,m,2,r,12.583,5.331,2.756166,0.747001254,-1.17698048,-4.435494714
265,FO98R,FO98,33.301,m,1,r,26.531,13.596,16.084341,0.774688053,5.932486275,8.885493907
83,FO147R,FO147,24.401,m,1,r,19.808,9.426,9.334752,0.802658118,2.180343183,2.128645003
102,FO156L,FO156,27.608,m,1,l,22.063,10.237,9.505755,0.806106818,1.345955655,2.298752859
94,FO152L,FO152,30.765,m,1,l,26.249,12.369,14.857143,0.816101686,4.831017822,7.647546593
19,FO102R,FO102,27.155,m,1,r,19.934,9.19,9.294516,0.829788199,2.083930152,2.081367125
8,FO171L,FO171,25.221,m,2,l,14.575,6.506,5.612922,0.833236543,0.791643399,-1.601121926
127,FO18L,FO18,26.294,m,2,l,18.411,7.02,0.734307,0.849135504,-5.797250123,-6.483863657
122,FO165R,FO165,18.719,m,1,r,14.572,5.984,2.474514,0.851983536,-2.345427053,-4.744395892
78,FO145L,FO145,34.152,m,1,l,30.409,13.059,10.56195,0.869381304,-1.318908925,3.338524348
77,FO144R,FO144,29.825,m,1,r,22.462,11.046,12.342393,0.873550692,4.004699721,5.117885142
71,FO141R,FO141,25.163,m,1,r,18.465,8.923,10.441242,0.88294457,3.885609006,3.214295869
5,FO169R,FO169,26.718,m,2,r,16.608,6.685,4.476255,0.890491493,-1.25143555,-2.752650009
99,FO154R,FO154,23.91,m,1,r,16.821,7.727,8.912274,0.895369728,3.089617516,1.682102798
336,FO192L,FO192,28.11,m,2,l,15.104,7.502,3.450237,0.900013407,-1.606895964,-3.781139514
13,FO173R,FO173,34.947,m,2,r,28.863,9.93,6.246639,0.904138366,-4.944936662,-0.985808188
79,FO145R,FO145,34.152,m,1,r,28.206,12.486,11.256021,0.90886276,0.357368432,4.022347549
332,FO190L,FO190,27.182,m,2,l,15.737,6.877,3.933069,0.910103136,-1.406286672,-3.300926402
244,FO86L,FO86,32.752,m,1,l,27.541,12.881,14.645904,0.91134219,4.043741322,7.411586989
337,FO192R,FO192,28.11,m,2,r,14.886,6.862,4.114131,0.915179892,-0.845806783,-3.121182124
245,FO86R,FO86,32.752,m,1,r,27.42,12.599,14.022246,0.916980585,3.474031106,6.786465489
264,FO98L,FO98,33.301,m,1,l,27.337,12.395,13.650063,0.929466069,3.138853611,6.411041759
115,FO162L,FO162,26.556,m,1,l,16.682,8.496,4.647258,0.959658236,-1.11342541,-2.599599913
338,FO193L,FO193,26.44,m,2,l,16.115,7.505,3.792243,0.963326525,-1.715643767,-3.455567053
316,FO182L,FO182,27.415,m,2,l,15.511,7.32,5.804043,0.96574098,0.565449306,-1.444393749
107,FO158R,FO158,24.742,m,1,r,18.143,7.715,3.269175,0.980976278,-3.142894468,-3.983216219
185,FO51L,FO51,33.869,m,1,l,26.963,11.476,15.762453,0.997053533,5.417991309,8.505888772
187,FO52L,FO52,31.991,m,1,l,26.888,11.92,12.925815,1.001032213,2.614792018,5.668218067
317,FO182R,FO182,27.415,m,2,r,16.189,7.463,4.62714,1.001049686,-0.913739627,-2.630461469
70,FO141L,FO141,25.163,m,1,l,18.998,8.988,9.475578,1.009998038,2.682307245,2.215653899
96,FO153L,FO153,23.795,m,1,l,18.091,7.628,9.224103,1.011289728,2.835217703,1.963843628
340,FO194L,FO194,27.002,m,2,l,16.997,7.694,5.713512,1.013297273,-0.187613989,-1.54726845
128,FO18R,FO18,26.294,m,2,r,19.525,8.841,7.634781,1.022450815,0.60654758,0.371624659
74,FO143L,FO143,25.164,m,1,l,18.043,8.641,9.797466,1.025029205,3.429981477,2.533640413
339,FO193R,FO193,26.44,m,2,r,15.598,7.547,2.947287,1.025812359,-2.330095597,-4.316741863
108,FO159L,FO159,24.849,m,1,l,19.713,8.181,4.536609,1.026752047,-2.575444118,-2.727663768
333,FO190R,FO190,27.182,m,2,r,16.448,7.665,4.848438,1.030079502,-0.807916637,-2.416698441
306,FO177L,FO177,28.792,m,2,l,17.455,7.477,2.21298,1.037395463,-3.892345041,-5.054055371
197,FO57R,FO57,26.667,m,1,r,20.346,9.095,9.948351,1.037447294,2.554075175,2.681302176
75,FO143R,FO143,25.164,m,1,r,17.761,8.418,9.344811,1.040744785,3.103056025,2.07690628
100,FO155L,FO155,23.309,m,1,l,16.723,7.813,8.027082,1.044220553,2.248118762,0.758275111
110,FO15L,FO15,33.222,m,2,l,25.871,11.038,7.926492,1.051218521,-1.931102083,0.655868719
0,FO166L,FO166,30.315,m,2,l,17.968,8.616,5.421801,1.052609776,-0.912244813,-1.849183394
251,FO89R,FO89,28.038,m,1,r,21.024,9.001,6.447819,1.060769616,-1.248742758,-0.825283361
106,FO158L,FO158,24.742,m,1,l,20.285,9.566,7.916433,1.063419761,0.549353992,0.642642768
6,FO170L,FO170,26.307,m,2,l,15.036,6.741,5.93481,1.066752763,0.907994799,-1.339845345
76,FO144L,FO144,29.825,m,1,l,23.766,10.74,12.724635,1.078768066,3.805554027,5.446860966
341,FO194R,FO194,27.002,m,2,r,17.615,7.76,5.210562,1.082147707,-0.966098954,-2.068089253
153,FO33L,FO33,30.312,m,2,r,20.901,9.45,8.489796,1.083000249,0.848073725,1.210923461
131,FO20L,FO20,28.391,m,2,l,25.394,11.714,8.499855,1.084774423,-1.145068891,1.220521957
256,FO93L,FO93,27.731,m,1,l,17.977,7.627,4.808202,1.089926591,-1.529856458,-2.472468339
111,FO15R,FO15,33.222,m,2,r,26.154,11.369,6.63894,1.096482255,-3.344829479,-0.643431925
320,FO184L,FO184,29.274,m,2,l,17.974,8.854,5.512332,1.098521397,-0.82438891,-1.770569205
175,FO45L,FO45,19.515,m,2,l,15.036,6.454,4.365606,1.100766087,-0.661209201,-2.917877836
330,FO189L,FO189,28.044,m,2,l,19.676,8.137,7.835961,1.110840399,0.740404312,0.549862278
18,FO102L,FO102,27.155,m,1,l,19.023,8.472,11.0649,1.119374464,4.260483008,3.776586178
9,FO171R,FO171,25.221,m,2,r,14.691,6.778,5.120031,1.12077627,0.247033862,-2.168646675
85,FO148R,FO148,22.38,m,1,r,16.18,7.945,8.912274,1.121452344,3.375407018,1.623420844
82,FO147L,FO147,24.401,m,1,l,19.054,9.045,8.338911,1.121774371,1.520672675,1.049974259
11,FO172R,FO172,26.978,m,2,r,14.729,6.158,4.516491,1.128700633,-0.373448418,-2.77424352
307,FO177R,FO177,28.792,m,2,r,18.736,9.255,5.53245,1.130939376,-1.144008197,-1.758865608
331,FO189R,FO189,28.044,m,2,r,19.117,8.753,6.830061,1.139121743,-0.016265841,-0.463378421
321,FO184R,FO184,29.274,m,2,r,18.684,8.808,5.482155,1.141754924,-1.171119025,-1.811967889
64,FO139L,FO139,17.09,m,2,l,11.035,4.625,3.309411,1.149252392,0.066439482,-3.98665793
103,FO156R,FO156,27.608,m,1,r,20.51,9.978,10.682658,1.157074405,3.215262864,3.38455879
200,FO59L,FO59,23.602,m,1,l,16.428,7.702,9.133572,1.16247871,3.486134353,1.834070049
257,FO93R,FO93,27.731,m,1,r,20.306,10.306,10.833543,1.181768884,3.457101153,3.529034096
92,FO151L,FO151,31.916,m,1,l,25.475,10.505,11.024664,1.186748314,1.343626303,3.718862636
188,FO52R,FO52,31.991,m,1,r,25.279,11.726,13.358352,1.186897893,3.764700797,6.052511812
324,FO186L,FO186,29.455,m,2,l,20.376,9.102,8.328852,1.193326135,0.921200691,1.021343298
27,FO109R,FO109,30.779,m,1,r,23.767,11.493,12.000387,1.19598748,3.080860178,4.69218752
334,FO191L,FO191,30.765,m,2,l,20.878,9.63,6.870297,1.199733229,-0.761170737,-0.438874725
303,FO175R,FO175,30.459,m,2,r,20.066,8.392,1.921269,1.204173586,-5.348168977,-5.389055264
87,FO149R,FO149,23.542,m,1,r,15.699,6.405,1.126608,1.204648627,-4.195805392,-6.183839565
308,FO178L,FO178,30.549,m,2,l,19.519,9.751,6.84012,1.207026488,-0.185438323,-0.470944762
309,FO178R,FO178,30.549,m,2,r,20.089,9.97,8.057259,1.209273491,0.777566486,0.745611006
101,FO155R,FO155,23.309,m,1,r,16.098,7.477,5.492214,1.213347694,-0.008093326,-1.820491493
123,FO16L,FO16,29.878,m,2,l,18.719,9.127,8.127672,1.218310409,1.458793244,0.813678386
302,FO175L,FO175,30.459,m,2,l,20.614,9.541,2.746107,1.219337445,-4.76765648,-4.568153191
97,FO153R,FO153,23.795,m,1,r,16.905,7.831,8.419383,1.22085829,2.559275161,1.104728058
91,FO150R,FO150,28.411,m,1,r,21.456,10.429,12.483219,1.226032645,4.594050276,5.167221004
322,FO185L,FO185,31.611,m,2,l,20.512,9.635,6.166167,1.229069654,-1.302119835,-1.150619281
342,FO195L,FO195,30.208,m,2,l,20.996,9.756,3.792243,1.229247679,-3.891834973,-3.52458949
325,FO186R,FO186,29.455,m,2,r,20.98,9.414,8.198085,1.2303067,0.521140618,0.880977631
323,FO185R,FO185,31.611,m,2,r,20.481,9.751,7.785666,1.2456532,0.331200498,0.464575297
1,FO166R,FO166,30.315,m,2,r,18.292,8.265,4.908792,1.247291779,-1.569709038,-2.412724012
10,FO172L,FO172,26.978,m,2,l,14.775,6.954,5.723571,1.249249226,0.813122507,-1.598453087
312,FO180L,FO180,30.187,m,2,l,21.072,9.828,7.493955,1.253975247,-0.224007532,0.170704228
335,FO191R,FO191,30.765,m,2,r,21.358,9.703,6.457878,1.256189091,-1.387597477,-0.865947397
4,FO169L,FO169,26.718,m,2,l,17.139,7.203,5.653158,1.260722802,-0.311278612,-1.671844166
105,FO157R,FO157,22.384,m,1,r,14.874,7.261,3.450237,1.261353041,-1.504350589,-3.87492875
313,FO180R,FO180,30.187,m,2,r,21.47,10.104,7.514073,1.270696639,-0.381337616,0.186482028
98,FO154L,FO154,23.91,m,1,l,18.256,7.918,8.882097,1.270808393,2.419646543,1.554477021
329,FO188R,FO188,31.645,m,2,r,21.933,8.858,2.625399,1.274478442,-5.476439916,-4.703173576
343,FO195R,FO195,30.208,m,2,r,21.294,8.373,4.194603,1.284110185,-3.622338112,-3.13646959
90,FO150L,FO150,28.411,m,1,l,21.783,9.505,10.280298,1.28469753,2.245336503,2.949072959
93,FO151R,FO151,31.916,m,1,r,24.491,10.066,12.090918,1.301793548,2.84859617,4.755255521
7,FO170R,FO170,26.307,m,2,r,15.094,6.939,5.079795,1.307663225,0.02712053,-2.257391011
138,FO23R,FO23,29.647,m,1,r,38.216,18.152,13.931715,1.316128004,-1.429890646,6.592331872
3,FO167R,FO167,25.162,m,2,r,13.372,5.482,3.078054,1.317956177,-1.206867703,-4.261803648
84,FO148L,FO148,22.38,m,1,l,15.059,6.374,4.094013,1.325761371,-0.943056739,-3.247870562
328,FO188L,FO188,31.645,m,2,l,22.92,9.716,2.524809,1.32895602,-6.017083331,-4.817903765
65,FO139R,FO139,17.09,m,2,r,10.941,5.497,3.399942,1.340905526,0.198880331,-3.945872376
137,FO23L,FO23,29.647,m,1,l,39.051,18.164,13.0767,1.343037033,-2.657189944,5.730332371
2,FO167L,FO167,25.162,m,2,l,12.934,6.719,5.039559,1.356778486,0.94991936,-2.310375358
310,FO179L,FO179,33.167,m,2,l,23.285,11.406,6.779766,1.362413815,-1.924861383,-0.571631063
311,FO179R,FO179,33.167,m,2,r,25.589,11.342,6.960828,1.36389143,-2.771036535,-0.390952592
80,FO146L,FO146,26.767,m,1,l,20.608,9.462,11.497437,1.376079771,3.986348617,4.142492805
121,FO165L,FO165,18.719,m,1,l,13.994,5.892,2.11239,1.379294891,-2.449850066,-5.243388711
134,FO21R,FO21,35.301,m,2,r,17.285,8.964,7.785666,1.394852703,1.756135367,0.425849107
124,FO16R,FO16,29.878,m,2,r,20.691,8.744,8.027082,1.395280466,0.478988112,0.667154077
86,FO149L,FO149,23.542,m,1,l,17.374,8.855,7.725312,1.395957885,1.656100765,0.365208246
133,FO21L,FO21,35.301,m,2,l,17.601,8.644,8.0472,1.39713169,1.876780938,0.686791574
263,FO97R,FO97,31.284,m,1,r,25.531,11.553,12.805107,1.409949082,3.099101733,5.441371694
109,FO159R,FO159,24.849,m,1,r,19.103,8.871,6.186285,1.413613225,-0.653799948,-1.17840137
186,FO51R,FO51,33.869,m,1,r,25.5,12.889,12.724635,1.423599922,3.032451066,5.357356485
196,FO57L,FO57,26.667,m,1,l,19.141,7.023,5.341329,1.435648559,-1.515698228,-2.029076857
12,FO173L,FO173,34.947,m,2,l,23.676,10.193,6.709353,1.439876185,-2.169601522,-0.662150178
104,FO157L,FO157,22.384,m,1,l,13.982,6.261,2.454396,1.442356934,-2.102493872,-4.917751081
72,FO142L,FO142,27.058,m,1,l,22.726,9.573,10.501596,1.443434799,2.046198464,3.129169149
116,FO162R,FO162,26.556,m,1,r,17.522,8.631,1.91121,1.447883131,-4.223986955,-5.462371459
42,FO119L,FO119,30.926,m,1,l,25.699,12.453,13.066641,1.45556346,3.285733024,5.691066036
326,FO187L,FO187,35.721,m,2,l,26.492,12.444,8.429442,1.469940048,-1.705024596,1.050135452
132,FO20R,FO20,28.391,m,2,r,24.475,10.872,9.133572,1.477704594,-0.101616239,1.752250088
73,FO142R,FO142,27.058,m,1,r,23.28,9.471,10.76313,1.484212518,2.060731864,3.380118893
304,FO176L,FO176,38.348,m,2,l,27.8,11.632,2.454396,1.489905815,-8.263241688,-4.930092858
327,FO187R,FO187,35.721,m,2,r,27.119,12.67,5.572686,1.499140649,-4.841328207,-1.814199849
68,FO140L,FO140,21.598,m,2,l,15.175,6.908,1.599381,1.505159866,-3.489407276,-5.789067196
95,FO152R,FO152,30.765,m,1,r,24.462,10.757,10.038882,1.511404052,0.809489804,2.648813064
43,FO119R,FO119,30.926,m,1,r,25.599,12.308,13.126995,1.52292963,3.39067197,5.733934488
314,FO181L,FO181,36.922,m,2,l,28.451,13.335,5.099913,1.539446221,-5.907972685,-2.297434555
315,FO181R,FO181,36.922,m,2,r,29.169,13.989,5.743689,1.567365811,-5.584316596,-1.660905357
201,FO59R,FO59,23.602,m,1,r,15.1,7.579,4.234839,1.601221091,-0.820510567,-3.178542826
305,FO176R,FO176,38.348,m,2,r,29.652,14.115,2.152626,1.610571547,-9.390724885,-5.263182829
250,FO89L,FO89,28.038,m,1,l,22.573,10.247,11.889738,1.665877744,3.502555431,4.459573907
81,FO146R,FO146,26.767,m,1,r,21.238,9.324,11.638263,1.81550949,3.846289458,4.169260524
154,FO33R,FO33,30.312,m,2,l,21.326,9.685,8.5260084,1.85478568,0.694800106,1.046811405
